tissue	cluster	gene
Olfactory_Epithelium	9	MT-ND1
Olfactory_Epithelium	9	MT-ATP6
Olfactory_Epithelium	9	MT-CYB
Olfactory_Epithelium	9	CEBPB
Olfactory_Epithelium	9	MT-ND3
Olfactory_Epithelium	9	MT-CO2
Olfactory_Epithelium	9	FOXC1
Olfactory_Epithelium	9	MT-ND4L
Olfactory_Epithelium	9	CCDC71L
Olfactory_Epithelium	9	SEPHS2
Olfactory_Epithelium	9	MT-ND2
Olfactory_Epithelium	9	MT-ND5
Olfactory_Epithelium	9	CLDN22
Olfactory_Epithelium	9	MT-ND6
Olfactory_Epithelium	9	TRIL
Olfactory_Epithelium	9	SF3B5
Olfactory_Epithelium	9	CLDN9
Olfactory_Epithelium	9	IRF2BPL
Olfactory_Epithelium	9	MAGEF1
Olfactory_Epithelium	9	SMIM10L1
Olfactory_Epithelium	9	DNAJC30
Olfactory_Epithelium	9	SOX21
Olfactory_Epithelium	9	CITED4
Olfactory_Epithelium	9	MT-ATP8
Olfactory_Epithelium	9	TMEM203
Olfactory_Epithelium	9	RHOB
Olfactory_Epithelium	9	EBLN2
Olfactory_Epithelium	9	RNF26
Olfactory_Epithelium	9	CLDN23
Olfactory_Epithelium	9	GAS1
Olfactory_Epithelium	9	F8A1
Olfactory_Epithelium	9	FOXQ1
Olfactory_Epithelium	9	SDHAF1
Olfactory_Epithelium	9	ATXN7L3B
Olfactory_Epithelium	9	RRS1
Olfactory_Epithelium	9	EXOSC6
Olfactory_Epithelium	9	MFSD6L
Olfactory_Epithelium	9	FZD8
Olfactory_Epithelium	10	HSPA1B
Olfactory_Epithelium	10	MGAT2
Olfactory_Epithelium	10	HSPA6
Olfactory_Epithelium	10	RNF113A
Olfactory_Epithelium	11	SOX11
Olfactory_Epithelium	11	HNRNPA0
Olfactory_Epithelium	11	INSM1
Olfactory_Epithelium	11	CCDC184
Olfactory_Epithelium	11	CLDN3
Olfactory_Epithelium	11	ATXN7L3B
Olfactory_Epithelium	11	CLDN9
Olfactory_Epithelium	11	PNMA1
Olfactory_Epithelium	11	MAGEF1
Olfactory_Epithelium	11	IRF2BPL
Olfactory_Epithelium	11	SOX4
Olfactory_Epithelium	11	RPRM
Olfactory_Epithelium	11	SEPHS2
Olfactory_Epithelium	11	TBCC
Olfactory_Epithelium	11	FANCF
Olfactory_Epithelium	11	RBM15B
Olfactory_Epithelium	11	CDK5R2
Olfactory_Epithelium	11	ATOH7
Olfactory_Epithelium	11	MAGEH1
Olfactory_Epithelium	11	SMIM10L1
Olfactory_Epithelium	11	TSPYL4
Olfactory_Epithelium	11	SF3B5
Olfactory_Epithelium	11	MT-ND6
Olfactory_Epithelium	11	EXOSC6
Olfactory_Epithelium	11	UBQLN2
Olfactory_Epithelium	11	PCBP1
Olfactory_Epithelium	11	TMEM203
Olfactory_Epithelium	11	ADO
Olfactory_Epithelium	11	SOX12
Olfactory_Epithelium	11	EID2
Olfactory_Epithelium	11	RRAGA
Olfactory_Epithelium	11	NAP1L5
Olfactory_Epithelium	11	NEUROG1
Olfactory_Epithelium	11	TLNRD1
Olfactory_Epithelium	11	TSPYL5
Olfactory_Epithelium	11	BLOC1S4
Olfactory_Epithelium	11	FEM1A
Olfactory_Epithelium	11	THAP11
Olfactory_Epithelium	11	MT-CO3
Olfactory_Epithelium	11	PNMA8C
Olfactory_Epithelium	11	TRAM1L1
Olfactory_Epithelium	11	TIGD1
Olfactory_Epithelium	11	PLPP6
Olfactory_Epithelium	11	SFT2D3
Olfactory_Epithelium	11	UTP3
Olfactory_Epithelium	11	PIGM
Olfactory_Epithelium	12	CLDN25
Olfactory_Epithelium	13	CCDC184
Olfactory_Epithelium	13	KCNA5
Olfactory_Epithelium	13	SOX11
Olfactory_Epithelium	13	MT-ND2
Olfactory_Epithelium	13	LRRC10B
Olfactory_Epithelium	13	CLDN3
Olfactory_Epithelium	13	PNMA1
Olfactory_Epithelium	13	MT-CO2
Olfactory_Epithelium	13	IRF2BPL
Olfactory_Epithelium	13	MT-CO1
Olfactory_Epithelium	13	RBM15B
Olfactory_Epithelium	13	CLDN9
Olfactory_Epithelium	13	THAP11
Olfactory_Epithelium	13	PCDHB1
Olfactory_Epithelium	13	MT-CYB
Olfactory_Epithelium	13	INSM1
Olfactory_Epithelium	13	CDK5R2
Olfactory_Epithelium	13	ATXN7L3B
Olfactory_Epithelium	13	FANCF
Olfactory_Epithelium	13	MT-ND4
Olfactory_Epithelium	13	MT-ND5
Olfactory_Epithelium	13	MAGEF1
Olfactory_Epithelium	13	SMIM10L1
Olfactory_Epithelium	13	PCBP1
Olfactory_Epithelium	13	MT-ATP6
Olfactory_Epithelium	13	MAGEH1
Olfactory_Epithelium	13	ATOH7
Olfactory_Epithelium	13	PNMA8C
Olfactory_Epithelium	13	TRAM1L1
Olfactory_Epithelium	13	TSPYL4
Olfactory_Epithelium	13	RRAGA
Olfactory_Epithelium	13	MT-CO3
Olfactory_Epithelium	13	TSPYL5
Olfactory_Epithelium	13	EXOSC6
Olfactory_Epithelium	13	TBCC
Olfactory_Epithelium	13	MT-ND3
Olfactory_Epithelium	13	MT-ND1
Olfactory_Epithelium	13	NAP1L5
Olfactory_Epithelium	13	EID2
Olfactory_Epithelium	13	SOX12
Olfactory_Epithelium	13	SEPHS2
Olfactory_Epithelium	13	NKAPL
Olfactory_Epithelium	13	PURB
Olfactory_Epithelium	13	RNF113A
Olfactory_Epithelium	13	MGAT2
Olfactory_Epithelium	13	MAB21L2
Olfactory_Epithelium	13	CEBPA
Olfactory_Epithelium	13	MT-ND6
Olfactory_Epithelium	14	HEPN1
Olfactory_Epithelium	14	FOXD3
Olfactory_Epithelium	14	NDN
Olfactory_Epithelium	14	MAGEH1
Olfactory_Epithelium	14	MT-ND2
Olfactory_Epithelium	14	FAM181B
Olfactory_Epithelium	14	HEXIM1
Olfactory_Epithelium	14	MT-ND3
Olfactory_Epithelium	14	RHOB
Olfactory_Epithelium	14	KCTD12
Olfactory_Epithelium	14	CEBPB
Olfactory_Epithelium	14	FZD7
Olfactory_Epithelium	14	HSPA1B
Olfactory_Epithelium	14	SOX4
Olfactory_Epithelium	14	MAGEF1
Olfactory_Epithelium	14	MT-ND4
Olfactory_Epithelium	14	MT-CO2
Olfactory_Epithelium	15	MT-CO2
Olfactory_Epithelium	16	MT-CO2
Olfactory_Epithelium	17	LRRC10B
Olfactory_Epithelium	17	TACSTD2
Olfactory_Epithelium	17	SOX2
Olfactory_Epithelium	17	CLDN3
Olfactory_Epithelium	17	MT-ND4
Olfactory_Epithelium	17	MT-ND5
Olfactory_Epithelium	17	MT-CO2
Olfactory_Epithelium	17	MT-ATP6
Olfactory_Epithelium	17	MT-ND3
Olfactory_Epithelium	17	MT-ND2
Olfactory_Epithelium	17	PNMA1
Olfactory_Epithelium	17	MT-CYB
Olfactory_Epithelium	17	ATXN7L3B
Olfactory_Epithelium	17	MT-CO1
Olfactory_Epithelium	17	CITED4
Olfactory_Epithelium	17	MT-ND4L
Olfactory_Epithelium	17	OTUD1
Olfactory_Epithelium	17	ADRB1
Olfactory_Epithelium	17	RHOB
Olfactory_Epithelium	17	MT-ND6
Olfactory_Epithelium	17	CLDN9
Olfactory_Epithelium	17	SOX4
Olfactory_Epithelium	17	MT-ND1
Olfactory_Epithelium	17	MAGEF1
Olfactory_Epithelium	17	CEBPB
Olfactory_Epithelium	17	RRAGA
Olfactory_Epithelium	17	SOX21
Olfactory_Epithelium	17	UBQLN2
Olfactory_Epithelium	17	MT-CO3
Olfactory_Epithelium	17	BLOC1S4
Olfactory_Epithelium	17	CSTF2T
Olfactory_Epithelium	17	FANCF
Olfactory_Epithelium	17	PURB
Olfactory_Epithelium	17	TSPYL5
Olfactory_Epithelium	17	CCDC89
Olfactory_Epithelium	17	CH25H
Olfactory_Epithelium	17	EXOSC6
Olfactory_Epithelium	17	UTP3
Olfactory_Epithelium	17	HCAR2
Olfactory_Epithelium	17	CLDN23
Olfactory_Epithelium	17	SMIM10L1
Olfactory_Epithelium	17	IRF2BPL
Olfactory_Epithelium	17	MGAT2
Olfactory_Epithelium	17	KCTD12
Olfactory_Epithelium	17	THAP11
Olfactory_Epithelium	18	CCDC85B
Olfactory_Epithelium	18	CH25H
Olfactory_Epithelium	18	TCIM
Olfactory_Epithelium	18	THBD
Olfactory_Epithelium	18	CLEC14A
Olfactory_Epithelium	18	KCTD12
Olfactory_Epithelium	18	FAM43A
Olfactory_Epithelium	18	MAFB
Olfactory_Epithelium	18	NDN
Olfactory_Epithelium	18	RRAGA
Olfactory_Epithelium	18	SOX4
Olfactory_Epithelium	18	JUNB
Olfactory_Epithelium	18	FOXC1
Olfactory_Epithelium	18	SMIM10
Olfactory_Epithelium	18	CD248
