tissue	cluster	gene
Testis	12	TUSC1
Testis	12	PDHA2
Testis	12	RPL10L
Testis	12	MT-ATP6
Testis	12	BOD1L2
Testis	12	MT-ND1
Testis	12	GK2
Testis	12	PNMA1
Testis	12	MT-ND4
Testis	12	MT-CYB
Testis	12	LDHAL6B
Testis	12	POU5F2
Testis	12	PCBP1
Testis	12	H3-5
Testis	12	ADO
Testis	12	H4C3
Testis	12	H1-6
Testis	12	MT-ND2
Testis	12	EIF5AL1
Testis	12	NSMCE3
Testis	12	PABPC3
Testis	12	SF3B5
Testis	12	ADAM30
Testis	13	MT-CO1
Testis	13	MT-ND1
Testis	13	MT-CO2
Testis	13	MT-CO3
Testis	13	MT-ND3
Testis	13	MT-ND2
Testis	13	MT-ATP6
Testis	13	MT-ND4
Testis	13	MT-CYB
Testis	13	MT-ND4L
Testis	13	MT-ND5
Testis	13	MT-ATP8
Testis	13	H2BC1
Testis	13	GMCL2
Testis	13	MT-ND6
Testis	14	MT-CYB
Testis	14	MT-ND3
Testis	14	MT-ATP6
Testis	14	MT-ND4
Testis	14	MT-ND1
Testis	14	MT-ND2
Testis	14	MT-CO3
Testis	14	MT-CO2
Testis	14	MT-ND5
Testis	14	MT-CO1
Testis	14	MT-ATP8
Testis	14	CEBPD
Testis	14	MT-ND4L
Testis	14	KCTD12
Testis	14	H4C3
Testis	14	NDN
Testis	14	MT-ND6
Testis	14	CEBPB
Testis	14	H1-10
Testis	14	PCBP1
Testis	14	JUNB
Testis	14	RHOB
Testis	15	MT-CYB
Testis	15	MT-ND3
Testis	15	MT-ND1
Testis	15	MT-ND4
Testis	15	MT-ATP6
Testis	15	MT-CO1
Testis	15	MT-CO3
Testis	15	MT-CO2
Testis	15	KCTD12
Testis	15	MT-ATP8
Testis	15	JUNB
Testis	15	MT-ND2
Testis	15	RHOB
Testis	15	MT-ND5
Testis	15	CCDC85B
Testis	15	CLEC14A
Testis	15	CEBPD
Testis	15	MT-ND4L
Testis	15	FOXC1
Testis	15	PCBP1
Testis	15	H4C3
Testis	15	HSPA1B
Testis	15	HNRNPA0
Testis	15	TCIM
Testis	15	FAM43A
Testis	15	MT-ND6
